algorithm,replicate,score
kmeans,0,0.7900558550208086
kmeans,1,0.7628751699591112
kmeans,2,0.7807197402932876
kmeans,3,0.7797644543889508
kmeans,4,0.7591355871810666
kmeans,5,0.7812014678261314
kmeans,6,0.7744050663698627
kmeans,7,0.7990640358417564
kmeans,8,0.7750083248543364
kmeans,9,0.7727390810613599
kmeans,10,0.7710900512811111
kmeans,11,0.7629448404484862
kmeans,12,0.774489649892985
kmeans,13,0.7806953014220663
kmeans,14,0.7849007387231556
kmeans,15,0.7712930557740476
kmeans,16,0.7802417480955436
kmeans,17,0.7764832162606394
kmeans,18,0.7861003852599012
kmeans,19,0.7619484388971751
kmeans,20,0.7571412730664204
kmeans,21,0.765827673351402
kmeans,22,0.7831832967088711
kmeans,23,0.7831217459106816
kmeans,24,0.7897420675821403
kmeans,25,0.7722317076764977
kmeans,26,0.7759165157760186
kmeans,27,0.7731521831370103
kmeans,28,0.7770063607573616
kmeans,29,0.7742226851634759
kmeans,30,0.7650714963696057
kmeans,31,0.7711078432969263
kmeans,32,0.7670122113572668
kmeans,33,0.7643454793229356
kmeans,34,0.791471251921867
kmeans,35,0.7730229584975236
kmeans,36,0.7959953631776571
kmeans,37,0.7829693570201248
kmeans,38,0.7602142300856451
kmeans,39,0.7731754633615999
kmeans,40,0.7769325408152581
kmeans,41,0.7805348834131691
kmeans,42,0.7699059991871253
kmeans,43,0.7894667241352398
kmeans,44,0.7812620142939816
kmeans,45,0.781933160516444
kmeans,46,0.7652228950218181
kmeans,47,0.7901670119764127
kmeans,48,0.7915500131932436
kmeans,49,0.780674143405889
kmeans_elbow,0,0.4603235730304546
kmeans_elbow,1,0.4467294709917432
kmeans_elbow,2,0.4586142074127493
kmeans_elbow,3,0.4548271902310758
kmeans_elbow,4,0.4567389502383883
kmeans_elbow,5,0.4501038136007915
kmeans_elbow,6,0.43718304620411746
kmeans_elbow,7,0.4538813616667032
kmeans_elbow,8,0.45690021999362324
kmeans_elbow,9,0.45005573544233285
kmeans_elbow,10,0.45582836070115906
kmeans_elbow,11,0.4580417835858531
kmeans_elbow,12,0.4452732689605914
kmeans_elbow,13,0.43983099748369736
kmeans_elbow,14,0.45826184593792796
kmeans_elbow,15,0.46237638402918624
kmeans_elbow,16,0.4477355558932984
kmeans_elbow,17,0.45060818599038366
kmeans_elbow,18,0.45971289455122444
kmeans_elbow,19,0.45087914717299427
kmeans_elbow,20,0.45280042142480226
kmeans_elbow,21,0.46664145706406546
kmeans_elbow,22,0.4596666438245383
kmeans_elbow,23,0.4627799609833784
kmeans_elbow,24,0.4637515826133301
kmeans_elbow,25,0.45062081306626073
kmeans_elbow,26,0.44345847643513203
kmeans_elbow,27,0.45606273308502177
kmeans_elbow,28,0.4586550277182475
kmeans_elbow,29,0.463014232928993
kmeans_elbow,30,0.45442922175726597
kmeans_elbow,31,0.4533723872439379
kmeans_elbow,32,0.44701378960393956
kmeans_elbow,33,0.45609591015499096
kmeans_elbow,34,0.44695319369620967
kmeans_elbow,35,0.43617509038488106
kmeans_elbow,36,0.4581835376828427
kmeans_elbow,37,0.44133191592508053
kmeans_elbow,38,0.46508661448472843
kmeans_elbow,39,0.44566381663855187
kmeans_elbow,40,0.45481706309851977
kmeans_elbow,41,0.4617977965070481
kmeans_elbow,42,0.4428319805431049
kmeans_elbow,43,0.45181138578195096
kmeans_elbow,44,0.45252670421900565
kmeans_elbow,45,0.46527393233047726
kmeans_elbow,46,0.4566977448681758
kmeans_elbow,47,0.4590492774064529
kmeans_elbow,48,0.46035945036573367
kmeans_elbow,49,0.44355033360929785
gmm,0,0.790095551242934
gmm,1,0.7623136103355295
gmm,2,0.7806464108447763
gmm,3,0.7791125589320766
gmm,4,0.7587006521247703
gmm,5,0.7811245139804331
gmm,6,0.7739192922434621
gmm,7,0.7987947896130019
gmm,8,0.774450253875415
gmm,9,0.7725584442797953
gmm,10,0.7708594648881417
gmm,11,0.7626356561651872
gmm,12,0.7744198723528817
gmm,13,0.780052593479465
gmm,14,0.7846588035742239
gmm,15,0.7707229521043608
gmm,16,0.7799108938384316
gmm,17,0.7757860606429633
gmm,18,0.7858565146677191
gmm,19,0.761975934841448
gmm,20,0.7564277976004623
gmm,21,0.7652304026006078
gmm,22,0.7829563196583336
gmm,23,0.7824812462171584
gmm,24,0.7894246593396006
gmm,25,0.7719879144384245
gmm,26,0.7760792375341448
gmm,27,0.7735736050171083
gmm,28,0.7764703632076072
gmm,29,0.7739188673006445
gmm,30,0.7648877674425456
gmm,31,0.7705228095044157
gmm,32,0.7663487885620123
gmm,33,0.7642150554683675
gmm,34,0.7908985492531303
gmm,35,0.7723025372457423
gmm,36,0.7961494425973896
gmm,37,0.7832219285371147
gmm,38,0.7585493487380739
gmm,39,0.7727068947990239
gmm,40,0.7767385554322823
gmm,41,0.780194409639273
gmm,42,0.7700651941312106
gmm,43,0.7891791744095964
gmm,44,0.7810341166753352
gmm,45,0.7806874815903696
gmm,46,0.7649843362988051
gmm,47,0.7903767087220706
gmm,48,0.7914164680819512
gmm,49,0.7804216606622345
dbscan,0,0.7005111947294073
dbscan,1,0.7053257572478004
dbscan,2,0.6918230761914068
dbscan,3,0.7086810524650297
dbscan,4,0.6696750589071381
dbscan,5,0.6957852768755772
dbscan,6,0.6948418533131302
dbscan,7,0.7051561686506536
dbscan,8,0.6869318451470506
dbscan,9,0.6973136822544654
dbscan,10,0.6735399603785495
dbscan,11,0.6895632434668093
dbscan,12,0.7170382847748737
dbscan,13,0.6748902442561688
dbscan,14,0.6771195342897283
dbscan,15,0.6904020402281942
dbscan,16,0.6632369134166436
dbscan,17,0.6943670705019829
dbscan,18,0.7078026793557038
dbscan,19,0.6714323867914567
dbscan,20,0.7382902961908246
dbscan,21,0.692501621975411
dbscan,22,0.6793091786408763
dbscan,23,0.7107763874964195
dbscan,24,0.7026395057434376
dbscan,25,0.6845430837527005
dbscan,26,0.712838777533945
dbscan,27,0.6870968383939358
dbscan,28,0.6975923024483807
dbscan,29,0.7174812405104253
dbscan,30,0.68572179627303
dbscan,31,0.6966558657895683
dbscan,32,0.684211711447538
dbscan,33,0.6860281515124949
dbscan,34,0.6739235100196614
dbscan,35,0.7094654830770095
dbscan,36,0.7161872980488924
dbscan,37,0.664292963648041
dbscan,38,0.695013242643191
dbscan,39,0.6736459983212003
dbscan,40,0.6788839318338709
dbscan,41,0.6922589414693376
dbscan,42,0.6835729665341495
dbscan,43,0.6898539009094347
dbscan,44,0.6863007714379437
dbscan,45,0.6778021810679608
dbscan,46,0.6695310008834965
dbscan,47,0.6898581376398683
dbscan,48,0.7096327734778914
dbscan,49,0.6942064677757855
gmm_bic,0,0.7747693295842331
gmm_bic,1,0.7671740901856239
gmm_bic,2,0.7389333830698847
gmm_bic,3,0.7840483004926466
gmm_bic,4,0.7576584150365924
